IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,NOM_CAPITAL (LEGAL),location,location_val
80902,CUSCO,LA CONVENCION,ECHARATE,ECHARATE,"{'lat': -12.7756182, 'lng': -72.59468310000001}",True
80903,CUSCO,LA CONVENCION,HUAYOPATA,IPAL /6,"{'lat': -13.0056949, 'lng': -72.5521364}",True
80904,CUSCO,LA CONVENCION,MARANURA,MARANURA,"{'lat': -12.9638167, 'lng': -72.66524849999999}",True
80905,CUSCO,LA CONVENCION,OCOBAMBA,OCOBAMBA /7,"{'lat': -12.8700106, 'lng': -72.44695449999999}",True
80906,CUSCO,LA CONVENCION,QUELLOUNO,QUELLOUNO,"{'lat': -12.636091, 'lng': -72.5568418}",True
80907,CUSCO,LA CONVENCION,KIMBIRI,KIMBIRI,"{'lat': -12.6187328, 'lng': -73.7874983}",True
80908,CUSCO,LA CONVENCION,SANTA TERESA,SANTA TERESA,"{'lat': -13.129911, 'lng': -72.5941899}",True
80909,CUSCO,LA CONVENCION,VILCABAMBA,LUCMA,"{'lat': -13.1201994, 'lng': -72.976321}",True
80910,CUSCO,LA CONVENCION,PICHARI,PICHARI,"{'lat': -12.5177532, 'lng': -73.82710240000002}",True
80911,CUSCO,LA CONVENCION,INKAWASI,AMAYBAMBA,"{'lat': -13.2995613, 'lng': -73.2293542}",True
80912,CUSCO,LA CONVENCION,VILLA VIRGEN,VILLA VIRGEN,"{'lat': -13.0026676, 'lng': -73.5130291}",True
80913,CUSCO,LA CONVENCION,VILLA KINTIARINA,VILLA KINTIARINA,"{'lat': -12.8932176, 'lng': -73.48872879999999}",True
81001,CUSCO,PARURO,PARURO,PARURO,"{'lat': -13.7615069, 'lng': -71.84898}",True
81002,CUSCO,PARURO,ACCHA,ACCHA,"{'lat': -13.9705607, 'lng': -71.8326771}",True
81003,CUSCO,PARURO,CCAPI,CCAPI,"{'lat': -13.8534349, 'lng': -72.0817154}",True
81004,CUSCO,PARURO,COLCHA,COLCHA,"{'lat': -13.8526595, 'lng': -71.8030225}",True
81005,CUSCO,PARURO,HUANOQUITE,HUANOQUITE,"{'lat': -13.6815937, 'lng': -72.01754509999999}",True
81006,CUSCO,PARURO,OMACHA,OMACHA,"{'lat': -14.069014, 'lng': -71.7552565}",True
81007,CUSCO,PARURO,PACCARITAMBO,PACCARITAMBO,"{'lat': -13.7760519, 'lng': -71.940134}",True
81008,CUSCO,PARURO,PILLPINTO,PILLPINTO,"{'lat': -13.9639505, 'lng': -71.7741103}",True
81009,CUSCO,PARURO,YAURISQUE,YAURISQUE,"{'lat': -13.6406918, 'lng': -71.9164217}",True
81101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAUCARTAMBO,"{'lat': -13.3140102, 'lng': -71.5931657}",True
81102,CUSCO,PAUCARTAMBO,CAICAY,CAICAY,"{'lat': -13.597034, 'lng': -71.6962569}",True
81103,CUSCO,PAUCARTAMBO,CHALLABAMBA,CHALLABAMBA,"{'lat': -13.2119634, 'lng': -71.64990689999999}",True
81104,CUSCO,PAUCARTAMBO,COLQUEPATA,COLQUEPATA,"{'lat': -13.387048, 'lng': -71.6436028}",True
81105,CUSCO,PAUCARTAMBO,HUANCARANI,HUANCARANI,"{'lat': -13.5037172, 'lng': -71.6547482}",True
81106,CUSCO,PAUCARTAMBO,KOSÑIPATA,PILLCOPATA,"{'lat': -12.995008, 'lng': -71.4299364}",True
81201,CUSCO,QUISPICANCHI,URCOS,URCOS,"{'lat': -13.6824359, 'lng': -71.62283550000001}",True
81202,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,ANDAHUAYLILLAS,"{'lat': -13.674114, 'lng': -71.6777177}",True
81203,CUSCO,QUISPICANCHI,CAMANTI,QUINCE MIL,"{'lat': -13.2498959, 'lng': -70.7168469}",True
81204,CUSCO,QUISPICANCHI,CCARHUAYO,CCARHUAYO,"{'lat': -13.5428719, 'lng': -71.35868549999999}",True
81205,CUSCO,QUISPICANCHI,CCATCA,CCATCA,"{'lat': -13.6057561, 'lng': -71.5637622}",True
81206,CUSCO,QUISPICANCHI,CUSIPATA,CUSIPATA,"{'lat': -13.9039185, 'lng': -71.49967}",True
81207,CUSCO,QUISPICANCHI,HUARO,HUARO,"{'lat': -13.6908547, 'lng': -71.6421194}",True
81208,CUSCO,QUISPICANCHI,LUCRE,LUCRE,"{'lat': -13.6339254, 'lng': -71.7340737}",True
81209,CUSCO,QUISPICANCHI,MARCAPATA,MARCAPATA,"{'lat': -13.5911247, 'lng': -70.9769245}",True
81210,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,"{'lat': -13.6294962, 'lng': -71.385252}",True
81211,CUSCO,QUISPICANCHI,OROPESA,OROPESA,"{'lat': -13.60277, 'lng': -71.7676089}",True
81212,CUSCO,QUISPICANCHI,QUIQUIJANA,QUIQUIJANA,"{'lat': -13.8262541, 'lng': -71.5401821}",True
81301,CUSCO,URUBAMBA,URUBAMBA,URUBAMBA,"{'lat': -13.3057641, 'lng': -72.1156281}",True
81302,CUSCO,URUBAMBA,CHINCHERO,CHINCHERO,"{'lat': -13.3964033, 'lng': -72.0514291}",True
81303,CUSCO,URUBAMBA,HUAYLLABAMBA,HUAYLLABAMBA,"{'lat': -13.3379755, 'lng': -72.06458409999999}",True
81304,CUSCO,URUBAMBA,MACHUPICCHU,MACHUPICCHU,"{'lat': -13.1631412, 'lng': -72.5449629}",True
81305,CUSCO,URUBAMBA,MARAS,MARAS,"{'lat': -13.3355616, 'lng': -72.1570098}",True
81306,CUSCO,URUBAMBA,OLLANTAYTAMBO,OLLANTAYTAMBO,"{'lat': -13.2583689, 'lng': -72.2642679}",True
81307,CUSCO,URUBAMBA,YUCAY,YUCAY,"{'lat': -13.3209756, 'lng': -72.0838501}",True
90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,"{'lat': -12.7861978, 'lng': -74.9764024}",True
90102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,ACOBAMBILLA,"{'lat': -12.67442, 'lng': -75.32515699999999}",True
90103,HUANCAVELICA,HUANCAVELICA,ACORIA,ACORIA,"{'lat': -12.6420559, 'lng': -74.8631402}",True
90104,HUANCAVELICA,HUANCAVELICA,CONAYCA,CONAYCA,"{'lat': -12.5212297, 'lng': -75.00707919999999}",True
90105,HUANCAVELICA,HUANCAVELICA,CUENCA,CUENCA,"{'lat': -12.7837547, 'lng': -74.9775922}",True
90106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,HUACHOCOLPA,"{'lat': -13.0312, 'lng': -74.9473531}",True
90107,HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,HUAYLLAHUARA,"{'lat': -12.4095481, 'lng': -75.178499}",True
90108,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,IZCUCHACA,"{'lat': -12.5108865, 'lng': -74.9968543}",True
90109,HUANCAVELICA,HUANCAVELICA,LARIA,LARIA,"{'lat': -12.5542513, 'lng': -75.07279559999999}",True
90110,HUANCAVELICA,HUANCAVELICA,MANTA,MANTA,"{'lat': -12.638393, 'lng': -75.17788530000001}",True
90111,HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,MARISCAL CACERES,"{'lat': -12.5492397, 'lng': -74.93549089999999}",True
90112,HUANCAVELICA,HUANCAVELICA,MOYA,MOYA,"{'lat': -12.4570821, 'lng': -75.1311874}",True
90113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,OCCORO,"{'lat': -12.60062, 'lng': -75.018517}",True
90114,HUANCAVELICA,HUANCAVELICA,PALCA,PALCA,"{'lat': -12.660612, 'lng': -74.9793243}",True
90115,HUANCAVELICA,HUANCAVELICA,PILCHACA,PILCHACA,"{'lat': -12.4015372, 'lng': -75.0836475}",True
90116,HUANCAVELICA,HUANCAVELICA,VILCA,VILCA,"{'lat': -12.4781246, 'lng': -75.1831552}",True
90117,HUANCAVELICA,HUANCAVELICA,YAULI,YAULI,"{'lat': -12.771245, 'lng': -74.8514441}",True
90118,HUANCAVELICA,HUANCAVELICA,ASCENSION,ASCENSION,"{'lat': -12.862174, 'lng': -75.17788530000001}",True
90119,HUANCAVELICA,HUANCAVELICA,HUANDO,HUANDO,"{'lat': -12.5653357, 'lng': -74.94864220000001}",True
90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,ACOBAMBA,"{'lat': -12.860765, 'lng': -74.5814773}",True
90202,HUANCAVELICA,ACOBAMBA,ANDABAMBA,ANDABAMBA,"{'lat': -12.6639284, 'lng': -74.651754}",True
90203,HUANCAVELICA,ACOBAMBA,ANTA,ANTA,"{'lat': -12.8202566, 'lng': -74.651754}",True
90204,HUANCAVELICA,ACOBAMBA,CAJA,CAJA,"{'lat': -12.883333, 'lng': -74.466667}",True
90205,HUANCAVELICA,ACOBAMBA,MARCAS,MARCAS,"{'lat': -12.8881746, 'lng': -74.3990647}",True
90206,HUANCAVELICA,ACOBAMBA,PAUCARA,PAUCARA,"{'lat': -12.7304534, 'lng': -74.667855}",True
90207,HUANCAVELICA,ACOBAMBA,POMACOCHA,POMACOCHA,"{'lat': -12.8525117, 'lng': -74.5146369}",True
90208,HUANCAVELICA,ACOBAMBA,ROSARIO,ROSARIO,"{'lat': -12.7399885, 'lng': -74.6166192}",True
90301,HUANCAVELICA,ANGARAES,LIRCAY,LIRCAY,"{'lat': -12.9951759, 'lng': -74.7249281}",True
90302,HUANCAVELICA,ANGARAES,ANCHONGA,ANCHONGA,"{'lat': -12.9126981, 'lng': -74.6905402}",True
90303,HUANCAVELICA,ANGARAES,CALLANMARCA,CALLANMARCA,"{'lat': -12.8668394, 'lng': -74.6246716}",True
90304,HUANCAVELICA,ANGARAES,CCOCHACCASA,CCOCHACCASA,"{'lat': -12.9291552, 'lng': -74.76735459999999}",True
90305,HUANCAVELICA,ANGARAES,CHINCHO,CHINCHO,"{'lat': -12.9911259, 'lng': -74.3352858}",True
90306,HUANCAVELICA,ANGARAES,CONGALLA,CONGALLA,"{'lat': -12.9601749, 'lng': -74.4921261}",True
90307,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,HUANCA-HUANCA,"{'lat': -12.9169261, 'lng': -74.6092986}",True
90308,HUANCAVELICA,ANGARAES,HUAYLLAY GRANDE,HUAYLLAY GRANDE,"{'lat': -12.9426735, 'lng': -74.70078409999999}",True
90309,HUANCAVELICA,ANGARAES,JULCAMARCA,JULCAMARCA,"{'lat': -13.0140578, 'lng': -74.4445339}",True
90310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,ANTAPARCO,"{'lat': -13.0758898, 'lng': -74.4408385}",True
90311,HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,SANTO TOMAS DE PATA,"{'lat': -13.1444918, 'lng': -74.4642861}",True
90312,HUANCAVELICA,ANGARAES,SECCLLA,SECCLLA,"{'lat': -13.0511724, 'lng': -74.48260239999999}",True
90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,CASTROVIRREYNA,"{'lat': -13.2772535, 'lng': -75.31696090000001}",True
90402,HUANCAVELICA,CASTROVIRREYNA,ARMA,ARMA,"{'lat': -13.081439, 'lng': -75.4810786}",True
90403,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,AURAHUA,"{'lat': -13.0343923, 'lng': -75.57037369999999}",True
90404,HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,CAPILLAS,"{'lat': -13.3355697, 'lng': -75.5975296}",True
90405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,CHUPAMARCA,"{'lat': -12.8833338, 'lng': -75.55096019999999}",True
90406,HUANCAVELICA,CASTROVIRREYNA,COCAS,COCAS,"{'lat': -13.2651102, 'lng': -75.35287790000001}",True
90407,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,HUACHOS,"{'lat': -13.24679, 'lng': -75.534477}",True
90408,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,HUAMATAMBO,"{'lat': -13.1263945, 'lng': -75.6789905}",True
90409,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,MOLLEPAMPA,"{'lat': -13.3108167, 'lng': -75.41025379999999}",True
90410,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,SAN JUAN,"{'lat': -13.2614181, 'lng': -75.6789905}",True
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SANTA ANA,"{'lat': -13.0730531, 'lng': -75.13976770000001}",True
90412,HUANCAVELICA,CASTROVIRREYNA,TANTARA,TANTARA,"{'lat': -13.0746594, 'lng': -75.64626609999999}",True
90413,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,TICRAPO,"{'lat': -13.3833585, 'lng': -75.43613909999999}",True
90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,CHURCAMPA,"{'lat': -12.7388243, 'lng': -74.3866039}",True
90502,HUANCAVELICA,CHURCAMPA,ANCO,LA ESMERALDA,"{'lat': -12.6479481, 'lng': -74.5697617}",True
90503,HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,CHINCHIHUASI,"{'lat': -12.4251035, 'lng': -74.5697617}",True
90504,HUANCAVELICA,CHURCAMPA,EL CARMEN,PAUCARBAMBILLA,"{'lat': -12.7211716, 'lng': -74.48773059999999}",True
90505,HUANCAVELICA,CHURCAMPA,LA MERCED,LA MERCED,"{'lat': -12.8005614, 'lng': -74.3235539}",True
90506,HUANCAVELICA,CHURCAMPA,LOCROJA,LOCROJA,"{'lat': -12.70587, 'lng': -74.464996}",True
90507,HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,PAUCARBAMBA,"{'lat': -12.5482615, 'lng': -74.5463307}",True
90508,HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,MAYOCC,"{'lat': -12.7891384, 'lng': -74.41152459999999}",True
90509,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,SAN PEDRO DE CORIS,"{'lat': -12.604092, 'lng': -74.3939339}",True
90510,HUANCAVELICA,CHURCAMPA,PACHAMARCA,PACHAMARCA,"{'lat': -12.508697, 'lng': -74.4760088}",True
90511,HUANCAVELICA,CHURCAMPA,COSME,SANTA CLARA DE COSME,"{'lat': -12.5732311, 'lng': -74.6588048}",True
90601,HUANCAVELICA,HUAYTARA,HUAYTARA,HUAYTARA,"{'lat': -13.6040212, 'lng': -75.3532422}",True
90602,HUANCAVELICA,HUAYTARA,AYAVI,AYAVI,"{'lat': -13.7030218, 'lng': -75.3511006}",True
90603,HUANCAVELICA,HUAYTARA,CORDOVA,CORDOVA,"{'lat': -14.0386401, 'lng': -75.18408790000001}",True
90604,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,HUAYACUNDO ARMA,"{'lat': -13.5338933, 'lng': -75.314433}",True
90605,HUANCAVELICA,HUAYTARA,LARAMARCA,LARAMARCA,"{'lat': -13.8883471, 'lng': -75.03775019999999}",True
90606,HUANCAVELICA,HUAYTARA,OCOYO,OCOYO,"{'lat': -14.0558412, 'lng': -74.9760886}",True
90607,HUANCAVELICA,HUAYTARA,PILPICHACA,PILPICHACA,"{'lat': -13.3308226, 'lng': -74.97689849999999}",True
90608,HUANCAVELICA,HUAYTARA,QUERCO,QUERCO,"{'lat': -13.979538, 'lng': -74.9766203}",True
90609,HUANCAVELICA,HUAYTARA,QUITO-ARMA,QUITO-ARMA,"{'lat': -13.5286886, 'lng': -75.3275527}",True
90610,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,CUSICANCHA,"{'lat': -13.502206, 'lng': -75.2935198}",True
90611,HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,SAN FRANCISCO DE SANGAYAICO,"{'lat': -13.7951343, 'lng': -75.24827069999999}",True
90612,HUANCAVELICA,HUAYTARA,SAN ISIDRO,SAN JUAN DE HUIRPACANCHA,"{'lat': -13.9797342, 'lng': -75.2362381}",True
90613,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,SANTIAGO DE CHOCORVOS,"{'lat': -13.8816054, 'lng': -75.294569}",True
90614,HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,SANTIAGO DE QUIRAHUARA,"{'lat': -14.054239, 'lng': -74.8039205}",True
90615,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,SANTO DOMINGO DE CAPILLAS,"{'lat': -13.683314, 'lng': -75.1895576}",True
90616,HUANCAVELICA,HUAYTARA,TAMBO,TAMBO,"{'lat': -13.6891917, 'lng': -75.2753168}",True
90701,HUANCAVELICA,TAYACAJA,PAMPAS,PAMPAS,"{'lat': -12.3992902, 'lng': -74.8659421}",True
90702,HUANCAVELICA,TAYACAJA,ACOSTAMBO,ACOSTAMBO,"{'lat': -12.3570714, 'lng': -75.0625748}",True
90703,HUANCAVELICA,TAYACAJA,ACRAQUIA,ACRAQUIA,"{'lat': -12.4029474, 'lng': -74.9121083}",True
90704,HUANCAVELICA,TAYACAJA,AHUAYCHA,AHUAYCHA,"{'lat': -12.396053, 'lng': -74.88872239999999}",True
90705,HUANCAVELICA,TAYACAJA,COLCABAMBA,COLCABAMBA,"{'lat': -12.4, 'lng': -74.7}",True
90706,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,MARISCAL CACERES,"{'lat': -12.3773561, 'lng': -74.8536372}",True
90707,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,HUACHOCOLPA,"{'lat': -12.0668559, 'lng': -74.5228916}",True
90709,HUANCAVELICA,TAYACAJA,HUARIBAMBA,HUARIBAMBA,"{'lat': -12.280592, 'lng': -74.93730099999999}",True
90710,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,ÑAHUIMPUQUIO,"{'lat': -12.332473, 'lng': -75.0961549}",True
90711,HUANCAVELICA,TAYACAJA,PAZOS,PAZOS,"{'lat': -12.2589572, 'lng': -75.0703095}",True
90713,HUANCAVELICA,TAYACAJA,QUISHUAR,QUISHUAR,"{'lat': -12.2473516, 'lng': -74.7688173}",True
90714,HUANCAVELICA,TAYACAJA,SALCABAMBA,SALCABAMBA,"{'lat': -12.1715006, 'lng': -74.8039205}",True
90715,HUANCAVELICA,TAYACAJA,SALCAHUASI,SALCAHUASI,"{'lat': -12.0800159, 'lng': -74.7571147}",True
90716,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,SAN MARCOS DE ROCCHAC,"{'lat': -12.0878086, 'lng': -74.89749250000001}",True
90717,HUANCAVELICA,TAYACAJA,SURCUBAMBA,SURCUBAMBA,"{'lat': -12.1230818, 'lng': -74.6341875}",True
90718,HUANCAVELICA,TAYACAJA,TINTAY PUNCU,TINTAY,"{'lat': -12.2027151, 'lng': -74.5697617}",True
90719,HUANCAVELICA,TAYACAJA,QUICHUAS,QUICHUAS,"{'lat': -12.4673102, 'lng': -74.72200169999999}",True
90720,HUANCAVELICA,TAYACAJA,ANDAYMARCA,ANDAYMARCA,"{'lat': -12.2943013, 'lng': -74.6166192}",True
90721,HUANCAVELICA,TAYACAJA,ROBLE,PUERTO SAN ANTONIO,"{'lat': -12.2417754, 'lng': -74.4760088}",True
90722,HUANCAVELICA,TAYACAJA,PICHOS,PICHOS,"{'lat': -12.1793212, 'lng': -74.9442585}",True
90723,HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,SANTIAGO DE TUCUMA,"{'lat': -12.3106702, 'lng': -74.8921238}",True
100101,HUANUCO,HUANUCO,HUANUCO,HUANUCO,"{'lat': -9.920764799999999, 'lng': -76.2410843}",True
100102,HUANUCO,HUANUCO,AMARILIS,PAUCARBAMBA,"{'lat': -9.899764, 'lng': -76.21894209999999}",True
100103,HUANUCO,HUANUCO,CHINCHAO,ACOMAYO,"{'lat': -9.575208199999999, 'lng': -76.1319953}",True
100104,HUANUCO,HUANUCO,CHURUBAMBA,CHURUBAMBA,"{'lat': -9.8352221, 'lng': -76.0963874}",True
100105,HUANUCO,HUANUCO,MARGOS,MARGOS,"{'lat': -10.0054766, 'lng': -76.5224188}",True
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),HUANCAPALLAC,"{'lat': -9.870406899999999, 'lng': -76.4331698}",True
100107,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,CAYRAN,"{'lat': -9.997575399999999, 'lng': -76.3405733}",True
100108,HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,CHAULAN,"{'lat': -10.0888584, 'lng': -76.4331698}",True
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,SANTA MARIA DEL VALLE,"{'lat': -9.8622904, 'lng': -76.1696791}",True
100110,HUANUCO,HUANUCO,YARUMAYO,YARUMAYO,"{'lat': -9.947275399999999, 'lng': -76.4447397}",True
100111,HUANUCO,HUANUCO,PILLCO MARCA,CAYHUAYNA,"{'lat': -9.9583593, 'lng': -76.2508086}",True
100112,HUANUCO,HUANUCO,YACUS,YACUS,"{'lat': -9.950115000000002, 'lng': -76.514138}",True
100113,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,SAN PABLO DE PILLAO,"{'lat': -9.7900906, 'lng': -75.99675549999999}",True
100201,HUANUCO,AMBO,AMBO,AMBO,"{'lat': -10.1202456, 'lng': -76.2044549}",True
100202,HUANUCO,AMBO,CAYNA,CAYNA,"{'lat': -10.1744507, 'lng': -76.3868797}",True
100203,HUANUCO,AMBO,COLPAS,COLPAS,"{'lat': -10.2686737, 'lng': -76.4134338}",True
100204,HUANUCO,AMBO,CONCHAMARCA,CONCHAMARCA,"{'lat': -10.0359556, 'lng': -76.21626069999999}",True
100205,HUANUCO,AMBO,HUACAR,HUACAR,"{'lat': -10.1605259, 'lng': -76.23560049999999}",True
100206,HUANUCO,AMBO,SAN FRANCISCO,MOSCA,"{'lat': -10.3019393, 'lng': -76.29425069999999}",True
100207,HUANUCO,AMBO,SAN RAFAEL,SAN RAFAEL,"{'lat': -10.3289174, 'lng': -76.10937009999999}",True
100208,HUANUCO,AMBO,TOMAY KICHWA,TOMAY KICHWA,"{'lat': -10.067722, 'lng': -76.18996609999999}",True
100301,HUANUCO,DOS DE MAYO,LA UNION,LA UNION,"{'lat': -9.82645, 'lng': -76.80157360000001}",True
100307,HUANUCO,DOS DE MAYO,CHUQUIS,CHUQUIS,"{'lat': -9.6781738, 'lng': -76.7033471}",True
100311,HUANUCO,DOS DE MAYO,MARIAS,MARIAS,"{'lat': -9.6073986, 'lng': -76.7033471}",True
100313,HUANUCO,DOS DE MAYO,PACHAS,PACHAS,"{'lat': -9.712464599999999, 'lng': -76.8490328}",True
100316,HUANUCO,DOS DE MAYO,QUIVILLA,QUIVILLA,"{'lat': -9.5807132, 'lng': -76.68169619999999}",True
100317,HUANUCO,DOS DE MAYO,RIPAN,RIPAN,"{'lat': -9.8101986, 'lng': -76.83749949999999}",True
100321,HUANUCO,DOS DE MAYO,SHUNQUI,SHUNQUI,"{'lat': -9.7490576, 'lng': -76.8086617}",True
100322,HUANUCO,DOS DE MAYO,SILLAPATA,SILLAPATA,"{'lat': -9.7856512, 'lng': -76.76827750000001}",True
100323,HUANUCO,DOS DE MAYO,YANAS,YANAS,"{'lat': -9.7193141, 'lng': -76.745195}",True
100401,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,HUACAYBAMBA,"{'lat': -9.0950407, 'lng': -76.83688959999999}",True
100402,HUANUCO,HUACAYBAMBA,CANCHABAMBA,CANCHABAMBA,"{'lat': -8.8546412, 'lng': -77.1255055}",True
100403,HUANUCO,HUACAYBAMBA,COCHABAMBA,COCHABAMBA,"{'lat': -9.095684499999999, 'lng': -76.6181655}",True
100404,HUANUCO,HUACAYBAMBA,PINRA,PINRA,"{'lat': -8.9243474, 'lng': -77.0154238}",True
100501,HUANUCO,HUAMALIES,LLATA,LLATA,"{'lat': -9.5498789, 'lng': -76.8165928}",True
100502,HUANUCO,HUAMALIES,ARANCAY,ARANCAY,"{'lat': -9.1720223, 'lng': -76.7513647}",True
100503,HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,CHAVIN DE PARIARCA,"{'lat': -9.4241077, 'lng': -76.7700807}",True
100504,HUANUCO,HUAMALIES,JACAS GRANDE,JACAS GRANDE,"{'lat': -9.539361699999999, 'lng': -76.7371795}",True
100505,HUANUCO,HUAMALIES,JIRCAN,JIRCAN,"{'lat': -9.2459156, 'lng': -76.7195828}",True
100506,HUANUCO,HUAMALIES,MIRAFLORES,MIRAFLORES,"{'lat': -9.382213799999999, 'lng': -76.7577201}",True
100507,HUANUCO,HUAMALIES,MONZON,MONZON,"{'lat': -9.2799751, 'lng': -76.3960633}",True
100508,HUANUCO,HUAMALIES,PUNCHAO,PUNCHAO,"{'lat': -9.445118599999999, 'lng': -76.8317325}",True
100509,HUANUCO,HUAMALIES,PUÑOS,PUÑOS,"{'lat': -9.5028572, 'lng': -76.8850673}",True
100510,HUANUCO,HUAMALIES,SINGA,SINGA,"{'lat': -9.3643091, 'lng': -76.8490328}",True
100511,HUANUCO,HUAMALIES,TANTAMAYO,TANTAMAYO,"{'lat': -9.3929796, 'lng': -76.7188613}",True
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,TINGO MARIA,"{'lat': -9.1645728, 'lng': -76.1551866}",True
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,DANIEL ALOMIA ROBLES,"{'lat': -9.3660055, 'lng': -75.78365889999999}",True
100603,HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,HERMILIO VALDIZAN,"{'lat': -9.142423299999999, 'lng': -75.8650148}",True
100604,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,AUCAYACU,"{'lat': -8.9694867, 'lng': -76.1319953}",True
100605,HUANUCO,LEONCIO PRADO,LUYANDO,LUYANDO /8,"{'lat': -9.2324697, 'lng': -75.9579358}",True
100606,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,LAS PALMAS,"{'lat': -9.385741999999999, 'lng': -76.0043731}",True
100607,HUANUCO,LEONCIO PRADO,PUCAYACU,PUCAYACU,"{'lat': -8.7525806, 'lng': -76.12184789999999}",True
100608,HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,CASTILLO GRANDE,"{'lat': -9.2136096, 'lng': -76.02758589999999}",True
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,PUEBLO NUEVO,"{'lat': -9.0793157, 'lng': -76.0616727}",True
100701,HUANUCO,MARAÑON,HUACRACHUCO,HUACRACHUCO,"{'lat': -8.629551, 'lng': -77.083823}",True
100702,HUANUCO,MARAÑON,CHOLON,SAN PEDRO DE CHONTA,"{'lat': -8.6900569, 'lng': -76.7336521}",True
100703,HUANUCO,MARAÑON,SAN BUENAVENTURA,SAN BUENAVENTURA,"{'lat': -8.7579393, 'lng': -77.1370115}",True
100704,HUANUCO,MARAÑON,LA MORADA,LA MORADA,"{'lat': -8.8902772, 'lng': -76.317414}",True
100705,HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,SANTA ROSA DE ALTO YANAJANCA,"{'lat': -8.6542894, 'lng': -76.31524259999999}",True
100801,HUANUCO,PACHITEA,PANAO,PANAO,"{'lat': -9.8979032, 'lng': -75.9931798}",True
100802,HUANUCO,PACHITEA,CHAGLLA,CHAGLLA,"{'lat': -9.8441095, 'lng': -75.89841539999999}",True
100803,HUANUCO,PACHITEA,MOLINO,MOLINO,"{'lat': -9.909696, 'lng': -76.0162038}",True
100804,HUANUCO,PACHITEA,UMARI,UMARI (TAMBILLO),"{'lat': -9.8531477, 'lng': -76.01598}",True
100901,HUANUCO,PUERTO INCA,PUERTO INCA,PUERTO INCA,"{'lat': -9.3789658, 'lng': -74.96539659999999}",True
