region,edad,m,f,count
LAMBAYEQUE,a0-04,66537,63880,130417
LAMBAYEQUE,a05-11,90682,86945,177627
LAMBAYEQUE,a12-17,70706,68296,139002
LAMBAYEQUE,a18-29,137274,135787,273061
LAMBAYEQUE,a30-39,97163,99291,196454
LAMBAYEQUE,a40-49,83164,89014,172178
LAMBAYEQUE,a50-59,63786,70686,134472
LAMBAYEQUE,a60-69,43557,48840,92397
LAMBAYEQUE,a70-79,24055,26550,50605
LAMBAYEQUE,a80-m,12262,14673,26935
LIMA METROPOLITANA,a0-04,431522,413342,844864
LIMA METROPOLITANA,a05-11,573085,550989,1124074
LIMA METROPOLITANA,a12-17,450329,434258,884587
LIMA METROPOLITANA,a18-29,1009507,980893,1990400
LIMA METROPOLITANA,a30-39,837415,826442,1663857
LIMA METROPOLITANA,a40-49,691099,700333,1391432
LIMA METROPOLITANA,a50-59,498583,528769,1027352
LIMA METROPOLITANA,a60-69,329301,371240,700541
LIMA METROPOLITANA,a70-79,177908,205715,383623
LIMA METROPOLITANA,a80-m,79949,114135,194084
LIMA REGION,a0-04,45315,44025,89340
LIMA REGION,a05-11,64112,61481,125593
LIMA REGION,a12-17,52260,50694,102954
LIMA REGION,a18-29,100566,100473,201039
LIMA REGION,a30-39,78343,80418,158761
LIMA REGION,a40-49,68140,67892,136032
LIMA REGION,a50-59,52306,52453,104759
LIMA REGION,a60-69,35971,35710,71681
LIMA REGION,a70-79,21162,21344,42506
LIMA REGION,a80-m,10984,12604,23588
LORETO,a0-04,64905,63299,128204
LORETO,a05-11,103902,100647,204549
LORETO,a12-17,78621,75843,154464
LORETO,a18-29,110121,105734,215855
LORETO,a30-39,75102,71350,146452
LORETO,a40-49,62761,56030,118791
LORETO,a50-59,47477,40445,87922
LORETO,a60-69,30830,25908,56738
LORETO,a70-79,15710,13505,29215
LORETO,a80-m,6423,6153,12576
MADRE DE DIOS,a0-04,10366,9526,19892
MADRE DE DIOS,a05-11,13602,13064,26666
MADRE DE DIOS,a12-17,9045,8759,17804
MADRE DE DIOS,a18-29,17760,16557,34317
MADRE DE DIOS,a30-39,16734,14241,30975
MADRE DE DIOS,a40-49,12156,9270,21426
MADRE DE DIOS,a50-59,9109,6066,15175
MADRE DE DIOS,a60-69,5065,2615,7680
MADRE DE DIOS,a70-79,1685,1012,2697
MADRE DE DIOS,a80-m,560,379,939
MOQUEGUA,a0-04,7318,7042,14360
MOQUEGUA,a05-11,10802,10302,21104
MOQUEGUA,a12-17,8948,8462,17410
MOQUEGUA,a18-29,18411,17712,36123
MOQUEGUA,a30-39,16131,15916,32047
MOQUEGUA,a40-49,15235,14164,29399
MOQUEGUA,a50-59,10737,10483,21220
MOQUEGUA,a60-69,7244,6917,14161
MOQUEGUA,a70-79,4181,3740,7921
MOQUEGUA,a80-m,1933,1944,3877
PASCO,a0-04,14090,13508,27598
PASCO,a05-11,20394,19633,40027
PASCO,a12-17,15899,15447,31346
PASCO,a18-29,30627,28698,59325
PASCO,a30-39,23882,21318,45200
PASCO,a40-49,18753,16732,35485
PASCO,a50-59,13957,12760,26717
PASCO,a60-69,8200,7809,16009
PASCO,a70-79,4250,4436,8686
PASCO,a80-m,1748,2239,3987
PIURA,a0-04,102351,98888,201239
PIURA,a05-11,148905,143089,291994
PIURA,a12-17,116357,112467,228824
PIURA,a18-29,199565,196534,396099
PIURA,a30-39,144088,144247,288335
